AO_AVAILDAYS,SERVICE
23578.8,Air Force
10698.0,Air Force
105319.68,Air Force
105772.8,Air Force
181744.8,Air Force
175492.32,Air Force
130949.28,Air Force
158882.4,Air Force
164584.8,Air Force
135672.48,Air Force
120180.72,Air Force
174702.72,Air Force
176281.68,Air Force
174088.32,Air Force
163108.32,Air Force
153655.2,Air Force
171232.8,Air Force
101440.8,Air Force
90617.52,Air Force
190386.0,Air Force
184970.88,Air Force
210816.0,Air Force
72154.08,Air Force
80662.08,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
210816.0,Air Force
133359.6,Air Force
202818.48,Air Force
210816.0,Air Force
210816.0,Air Force
111151.2,Air Force
210816.0,Air Force
182606.4,Air Force
152123.52,Air Force
38893.92,Air Force
156994.08,Air Force
177586.32,Air Force
180898.8,Air Force
210741.6,Air Force
164161.92,Air Force
6173.52,Air Force
120623.28,Air Force
76719.12,Air Force
93235.68,Air Force
106590.0,Air Force
26446.32,Air Force
20184.48,Air Force
74658.48,Air Force
24368.4,Air Force
0.0,Air Force
84948.0,Air Force
67930.8,Air Force
80938.32,Air Force
85403.52,Air Force
22302.48,Air Force
67556.88,Air Force
93227.52,Air Force
77564.88,Air Force
61591.92,Air Force
133449.6,Air Force
100986.72,Air Force
135056.4,Air Force
55609.2,Air Force
134762.88,Air Force
127570.08,Air Force
151427.28,Air Force
88407.12,Air Force
54827.52,Air Force
81879.6,Air Force
136139.28,Air Force
73183.68,Air Force
89827.92,Air Force
102410.4,Air Force
175798.08,Air Force
158628.72,Air Force
114685.92,Air Force
173093.52,Air Force
84065.28,Air Force
100177.2,Air Force
170737.68,Air Force
147797.76,Air Force
147528.48,Air Force
138437.28,Air Force
154711.68,Air Force
96835.2,Air Force
174035.28,Air Force
159499.2,Air Force
27818.88,Air Force
162305.52,Air Force
161764.08,Air Force
0.0,Air Force
0.0,Air Force
109964.4,Air Force
175864.32,Air Force
155548.32,Air Force
160163.52,Air Force
80878.08,Air Force
2039.52,Air Force
72030.72,Air Force
311.52,Air Force
887.52,Air Force
72601.68,Air Force
55447.68,Air Force
37213.68,Air Force
47898.48,Air Force
183744.0,Air Force
54205.68,Air Force
52753.92,Air Force
49550.88,Air Force
183744.0,Air Force
134335.2,Air Force
89034.72,Air Force
52548.48,Air Force
67604.4,Air Force
89994.72,Air Force
111396.0,Air Force
153080.88,Air Force
121676.88,Air Force
133126.32,Air Force
126977.28,Air Force
122639.52,Air Force
101606.88,Air Force
50099.52,Air Force
1152.0,Air Force
130148.4,Air Force
79555.92,Air Force
8863.92,Air Force
69133.68,Air Force
0.0,Air Force
16826.4,Air Force
109251.6,Air Force
35124.72,Air Force
25263.36,Air Force
145200.48,Air Force
125636.4,Air Force
89028.96,Air Force
53238.48,Air Force
126527.52,Air Force
0.0,Air Force
108714.48,Air Force
78868.08,Air Force
131400.72,Air Force
159892.8,Air Force
98911.92,Air Force
67949.52,Air Force
29131.68,Air Force
56943.84,Air Force
122418.0,Air Force
78379.2,Air Force
151677.12,Air Force
113404.08,Air Force
142279.2,Air Force
139759.92,Air Force
77543.52,Air Force
82183.68,Air Force
120543.6,Air Force
131910.72,Air Force
128012.4,Air Force
113869.68,Air Force
104008.08,Air Force
142219.68,Air Force
0.0,Air Force
134084.88,Air Force
94298.88,Air Force
