COMPONENT,COST_AMOUNT,FYYearInt,LEVEL_OF_MAINTENANCE,NATURE_OF_COST,NON_MAINTAINERS,NUMBER_OF_MAINTAINERS,PER_CAPITA_RATE,PROVIDER_OF_MAINTENANCE,SERVICE
,0,2009,Field,Materials,,,,Commercial,Other DoD
,0,2009,Field,Materials,,,,Organic,Other DoD
,0,2013,Field,Materials,,,,Organic,Other DoD
,1.129310345,2008,Depot,Overhead,,,,Commercial,Marine Corps
,2.190692395,2015,Depot,Materials,,,,Organic,Other DoD
,2.39424896,2013,Depot,Overhead,,,,Organic,Other DoD
,2.434102661,2017,Depot,Materials,,,,Organic,Other DoD
,3.39031339,2017,Depot,Overhead,,,,Commercial,Marine Corps
,6.541426402,2012,Depot,Overhead,,,,Commercial,Marine Corps
,16.3301305,2015,Depot,Overhead,,,,Organic,Marine Corps
,16.40549828,2008,Depot,Overhead,,,,Organic,Marine Corps
,16.63161374,2008,Depot,Materials,,,,Organic,Other DoD
,17.68110919,2010,Depot,Overhead,,,,Organic,Marine Corps
,18.30526316,2011,Depot,Overhead,,,,Organic,Marine Corps
,28.41176471,2016,Field,Overhead,,,,Commercial,Air Force
,29.52941176,2015,Field,Overhead,,,,Commercial,Other DoD
,29.5577434,2015,Depot,Materials,,,,Commercial,Other DoD
,29.66666667,2016,Field,Overhead,,,,Commercial,Other DoD
,38.52363367,2010,Field,Overhead,,,,Commercial,Air Force
,41.36419649,2012,Depot,Overhead,,,,Commercial,Other DoD
,43,2009,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,53.89696709,2008,Field,Materials,,,,Commercial,Marine Corps
,54.68767318,2009,Field,Materials,,,,Commercial,Marine Corps
,56.47058824,2017,Field,Overhead,,,,Commercial,Navy
,56.50433258,2011,Field,Materials,,,,Commercial,Marine Corps
,61,2014,Field,Overhead,,,,Commercial,Navy
,62.03921569,2017,Field,Overhead,,,,Commercial,Army
,62.56461442,2016,Field,Materials,,,,Commercial,Marine Corps
,63.25050789,2015,Depot,Labor,,,,Commercial,Other DoD
,63.73789174,2017,Depot,Materials,,,,Commercial,Marine Corps
,72.45361876,2013,Field,Overhead,,,,Organic,Marine Corps
,74.24635772,2008,Field,Overhead,,,,Organic,Marine Corps
,77.01372165,2008,Field,Overhead,,,,Commercial,Army
,80.82774172,2012,Depot,Materials,,,,Commercial,Marine Corps
,81.42569151,2017,Depot,Overhead,,,,Commercial,Other DoD
,82.89972827,2012,Field,Overhead,,,,Organic,Marine Corps
,93.20219554,2015,Depot,Labor,,,,Commercial,Marine Corps
,96.79243986,2008,Depot,Contract,,,,Organic,Marine Corps
,98,2015,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,100.0196078,2014,Field,Overhead,,,,Commercial,Army
,101.6663778,2010,Depot,Contract,,,,Organic,Marine Corps
,102.4358974,2016,Depot,Labor,,,,Commercial,Marine Corps
,108.1960784,2012,Field,Overhead,,,,Commercial,Army
,142.6668327,2015,Depot,Overhead,,,,Commercial,Army
,143,2017,Field,Materials,,,,Organic,Other DoD
,147.7508611,2016,Depot,Overhead,,,,Commercial,Army
,151.8386919,2013,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,156.1697158,2015,Depot,Contract,,,,Organic,Marine Corps
,157.1,2012,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,164.4439166,2014,Depot,Overhead,,,,Commercial,Army
,171.4241436,2009,Depot,Overhead,,,,Organic,Army
,176.5911482,2011,Field,Overhead,,,,Commercial,Army
,179.372377,2013,Depot,Overhead,,,,Commercial,Army
,183.6665338,2017,Field,Materials,,,,Commercial,Air Force
,184.6745363,2009,Depot,Materials,,,,Organic,Marine Corps
,186,2014,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,192.0784314,2017,Field,Overhead,,,,Commercial,Total DoD
,201.0502277,2008,Depot,Overhead,,,,Commercial,Air Force
,201.6095137,2010,Depot,Overhead,,,,Organic,Army
,207.2802165,2011,Depot,Overhead,,,,Commercial,Army
,215.3396887,2012,Depot,Overhead,,,,Commercial,Army
,215.5145357,2013,Depot,Materials,,,,Organic,Marine Corps
,215.7738402,2016,Depot,Overhead,,,,Organic,Army
,215.8312776,2015,Field,Overhead,,,,Organic,Air Force
,235,2016,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,236.2722227,2016,Field,Overhead,,,,Organic,Army
,240.5043332,2010,Depot,Materials,,,,Commercial,Other DoD
,254.8344428,2015,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,257.5832161,2009,Field,Overhead,,,,Organic,Air Force
,294.1640248,2008,Field,Labor,,,,Commercial,Other DoD
,295,2017,Field,Materials,,,,Organic,Marine Corps
,315.079,2008,Field,Labor/Materials/Overhead,,,,Commercial,Other DoD
,316,2016,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,329.7494294,2013,Depot,Overhead,,,,Organic,Air Force
,351.2569671,2014,Depot,Overhead,,,,Commercial,Air Force
,366.5947804,2013,Depot,Labor,,,,Commercial,Other DoD
,368.6267004,2014,Depot,Overhead,,,,Organic,Air Force
,437.2284883,2015,Field,Labor,,,,Commercial,Marine Corps
,466.3009401,2010,Field,Materials,,,,Commercial,Navy
,483,2015,Field,Materials,,,,Organic,Marine Corps
,499.6,2012,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,540.9659797,2009,Depot,Overhead,,,,Organic,Navy
,545.7742532,2017,Field,Materials,,,,Commercial,Navy
,568,2013,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,587.7927211,2008,Depot,Overhead,,,,Organic,Navy
,588.884452,2008,Depot,Overhead,,,,Commercial,Navy
,622.1975677,2010,Depot,Overhead,,,,Organic,Navy
,636.1175447,2014,Depot,Overhead,,,,Organic,Navy
,643,2013,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,679.0490798,2016,Depot,Overhead,,,,Organic,Navy
,681.8912986,2012,Depot,Contract,,,,Organic,Air Force
,738.3263778,2015,Depot,Labor,,,,Commercial,Army
,744.5945291,2015,Depot,Contract,,,,Organic,Air Force
,781.228146,2014,Depot,Overhead,,,,Commercial,Navy
,793,2009,Field,Materials,,,,Organic,Air Force
,814.9233979,2015,Field,Overhead,,,,Organic,Total DoD
,835.7486099,2013,Depot,Contract,,,,Organic,Army
,851.0266825,2014,Depot,Labor,,,,Commercial,Army
,865.6630985,2015,Depot,Contract,,,,Organic,Navy
,899.1181482,2009,Field,Labor,,,,Commercial,Marine Corps
,920.3365889,2008,Field,Overhead,,,,Organic,Total DoD
,933,2011,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,943,2013,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,978.668,2009,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,992.0003125,2017,Depot,Labor,,,,Commercial,Other DoD
,994.6647002,2012,Depot,Contract,,,,Organic,Navy
,1052.224832,2017,Depot,Overhead,,,,Organic,Total DoD
,1085,2014,Field,Materials,,,,Organic,Air Force
,1118.925179,2011,Field,Overhead,,,,Organic,Total DoD
,1128.936518,2010,Field,Materials,,,,Commercial,Total DoD
,1131.693533,2015,Depot,Materials,,,,Organic,Army
,1134.405928,2016,Depot,Materials,,,,Organic,Army
,1140.045412,2009,Depot,Overhead,,,,Commercial,Total DoD
,1162.879782,2012,Depot,Labor,,,,Commercial,Army
,1165,2008,Field,Materials,,,,Organic,Air Force
,1186.81643,2008,Depot,Materials,,,,Commercial,Navy
,1188.765456,2009,Depot,Materials,,,,Organic,Navy
,1203.989063,2014,Field,Labor,,,,Commercial,Air Force
,1214.789912,2014,Depot,Materials,,,,Organic,Army
,1220.710696,2017,Depot,Materials,,,,Organic,Army
,1223.343488,2013,Depot,Materials,,,,Commercial,Army
,1224,2017,Field,Materials,,,,Organic,Air Force
,1265.421552,2011,Field,Labor,,,,Commercial,Air Force
,1273.089055,2013,Depot,Overhead,,,,Commercial,Total DoD
,1285.914572,2016,Field,Labor,,,,Commercial,Air Force
,1290.238887,2009,Depot,Materials,,,,Commercial,Navy
,1322.504044,2010,Field,Labor,,,,Commercial,Marine Corps
,1353,2015,Field,Materials,,,,Organic,Army
,1368.239316,2011,Depot,Overhead,,,,Commercial,Total DoD
,1389.162724,2009,Depot,Contract,,,,Organic,Army
,1413.882559,2017,Depot,Materials,,,,Organic,Navy
,1506,2015,Field,Labor/Materials/Overhead,,,,Commercial,Other DoD
,1536.767459,2010,Depot,Materials,,,,Commercial,Army
,1537,2017,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,1541.187655,2014,Depot,Materials,,,,Commercial,Navy
,1583.913566,2016,Field,Materials,,,,Commercial,Total DoD
,1586.764675,2011,Depot,Materials,,,,Commercial,Navy
,1629,2016,Depot,Labor/Materials/Overhead,,,,Commercial,Army
,1678.642627,2011,Field,Labor,,,,Commercial,Navy
,1729.76996,2008,Field,Labor,,,,Commercial,Navy
,1744,2017,Field,Labor/Materials/Overhead,,,,Commercial,Air Force
,1854,2015,Depot,Labor/Materials/Overhead,,,,Commercial,Army
,1932.702692,2009,Depot,Materials,,,,Organic,Army
,1959.222242,2009,Field,Labor,,,,Commercial,Navy
,2052.486964,2015,Field,Labor,,,,Commercial,Air Force
,2085.898533,2013,Depot,Materials,,,,Organic,Air Force
,2201.402437,2009,Field,Labor,,,,Commercial,Army
,2231.710196,2017,Depot,Contract,,,,Organic,Total DoD
,2261.849701,2015,Depot,Materials,,,,Commercial,Air Force
,2302.113281,2012,Field,Labor,,,,Commercial,Navy
,2372.633333,2009,Depot,Materials,,,,Commercial,Air Force
,2405.746883,2008,Depot,Materials,,,,Organic,Army
,2482.9877,2013,Depot,Contract,,,,Organic,Total DoD
,2507.6099,2008,Depot,Materials,,,,Commercial,Army
,2518.657657,2014,Depot,Contract,,,,Organic,Total DoD
,2576.976158,2016,Field,Labor,,,,Commercial,Army
,2615.267249,2011,Depot,Materials,,,,Commercial,Air Force
,2635.495453,2008,Depot,Contract,,,,Organic,Total DoD
,2697.149467,2008,Field,Labor,,,,Commercial,Army
,2741,2016,Field,Materials,,,,Organic,Navy
,2780,2017,Field,Materials,,,,Organic,Navy
,2814,2013,Field,Labor/Materials/Overhead,,,,Commercial,Navy
,2820.199825,2008,Depot,Materials,,,,Organic,Air Force
,2826,2016,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,2892.520313,2011,Depot,Contract,,,,Organic,Total DoD
,2941.170267,2008,Depot,Materials,,,,Commercial,Air Force
,2992.585615,2015,Depot,Labor,,,,Commercial,Air Force
,3070,2014,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,3127.796244,2008,Field,Labor/Materials/Overhead,,,,Organic,Marine Corps
,3143.735,2008,Field,Labor/Materials/Overhead,,,,Commercial,Army
,3244.799118,2008,Depot,Labor,,,,Commercial,Navy
,3355,2009,Depot,Labor/Materials/Overhead,,,,Commercial,Army
,3418.368542,2016,Depot,Materials,,,,Commercial,Air Force
,3646.377006,2017,Depot,Materials,,,,Commercial,Air Force
,3929.5,2011,Field,Materials,,,,Organic,Army
,4113.170247,2017,Depot,Materials,,,,Organic,Air Force
,4122.544002,2013,Depot,Labor,,,,Commercial,Navy
,4398.350332,2015,Depot,Labor,,,,Commercial,Navy
,4647.484,2010,Field,Materials,,,,Organic,Total DoD
,4860.2,2008,Field,Materials,,,,Organic,Total DoD
,4894.5,2011,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,4984.1,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Air Force
,5101,2014,Field,Labor/Materials/Overhead,,,,Commercial,Army
,5158,2012,Field,Materials,,,,Organic,Army
,5454,2009,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,5501,2016,Field,Materials,,,,Organic,Total DoD
,5825.720994,2010,Field,Labor,,,,Commercial,Army
,5949.3,2011,Depot,Labor/Materials/Overhead,,,,Commercial,Air Force
,6072.3,2010,Depot,Labor/Materials/Overhead,,,,Commercial,Air Force
,6187.1,2010,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,6231,2013,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Navy
,6233,2013,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,6316.663466,2016,Depot,Materials,,,,Commercial,Total DoD
,6355.164,2010,Field,Labor/Materials/Overhead,,,,Commercial,Army
,6641.7,2010,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Air Force
,6679.466649,2009,Field,Labor,,,,Commercial,Total DoD
,6790.718693,2008,Field,Labor,,,,Commercial,Total DoD
,6859,2014,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,6877.27915,2017,Depot,Materials,,,,Organic,Total DoD
,7271,2013,Field,Materials,,,,Organic,Total DoD
,7645.5,2011,Field,Materials,,,,Organic,Total DoD
,8813,2016,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,10047,2012,Field,Materials,,,,Organic,Total DoD
,10365,2014,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,10700,2012,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,11140.44226,2013,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,11191.32424,2011,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,11286.54972,2016,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,11615.4812,2012,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,12054.72289,2017,Field,Labor/Materials/Overhead,,,,Organic,Army
,12096,2015,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,12296.1669,2015,Field,Labor/Materials/Overhead,,,,Organic,Army
,14158.66751,2013,Field,Labor/Materials/Overhead,,,,Organic,Navy
,14259.50078,2011,Field,Labor/Materials/Overhead,,,,Organic,Navy
,14501.37889,2015,Field,Labor/Materials/Overhead,,,,Organic,Navy
,14933.3,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,15153,2009,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,15862.7,2010,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,16154,2013,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Total DoD
,16348.1,2012,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,16739,2015,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Total DoD
,16978.1962,2011,Field,Labor/Materials/Overhead,,,,Organic,Army
,17735.4,2010,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Total DoD
,17749.5,2012,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Total DoD
,38999.74803,2008,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
,41561.09329,2015,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
,45054.89492,2014,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
,45102.82759,2009,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
Active,0,2013,Field,Labor,,0,0,Organic,Other DoD
