COMPONENT,COST_AMOUNT,FYYearInt,LEVEL_OF_MAINTENANCE,NATURE_OF_COST,NON_MAINTAINERS,NUMBER_OF_MAINTAINERS,PER_CAPITA_RATE,PROVIDER_OF_MAINTENANCE,SERVICE
,4.99675378,2015,Field,Overhead,,,,Organic,Other DoD
,5.458053551,2014,Depot,Overhead,,,,Commercial,Marine Corps
,6.624947758,2013,Depot,Overhead,,,,Commercial,Marine Corps
,6.638226441,2008,Depot,Contract,,,,Organic,Other DoD
,6.759656652,2017,Depot,Overhead,,,,Organic,Marine Corps
,8.767966088,2008,Field,Overhead,,,,Organic,Other DoD
,9.471395201,2010,Depot,Contract,,,,Organic,Other DoD
,10,2017,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,11.04890388,2009,Depot,Overhead,,,,Organic,Marine Corps
,14.51163793,2008,Depot,Materials,,,,Commercial,Marine Corps
,15.41176471,2014,Field,Overhead,,,,Commercial,Marine Corps
,16.8695973,2011,Depot,Materials,,,,Organic,Other DoD
,20.91497521,2008,Field,Overhead,,,,Commercial,Other DoD
,21.54603854,2009,Depot,Materials,,,,Commercial,Marine Corps
,24.86217867,2009,Field,Overhead,,,,Commercial,Marine Corps
,25.37254902,2012,Field,Overhead,,,,Commercial,Air Force
,26.2,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,27.74509804,2013,Field,Overhead,,,,Commercial,Air Force
,29.66666667,2017,Field,Overhead,,,,Commercial,Other DoD
,29.99608611,2010,Depot,Overhead,,,,Commercial,Other DoD
,31.99793655,2009,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,38.43320394,2008,Field,Overhead,,,,Commercial,Air Force
,42.5,2008,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,43.49773032,2011,Depot,Overhead,,,,Commercial,Other DoD
,43.62691775,2010,Field,Overhead,,,,Commercial,Marine Corps
,44.8763167,2017,Field,Materials,,,,Commercial,Marine Corps
,45.45098039,2015,Field,Overhead,,,,Commercial,Air Force
,54.6,2011,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,56.09939053,2014,Depot,Materials,,,,Commercial,Other DoD
,56.3,2012,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,58.01960784,2012,Field,Overhead,,,,Commercial,Navy
,63.6,2010,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,64.71082813,2014,Field,Overhead,,,,Organic,Marine Corps
,68.72330468,2016,Field,Overhead,,,,Organic,Marine Corps
,69.73083188,2012,Depot,Labor,,,,Commercial,Marine Corps
,71.59504108,2015,Field,Materials,,,,Commercial,Marine Corps
,83.87172272,2015,Depot,Materials,,,,Commercial,Marine Corps
,84.10493236,2009,Field,Overhead,,,,Organic,Marine Corps
,86.93226916,2011,Field,Overhead,,,,Organic,Marine Corps
,99.44013491,2009,Depot,Contract,,,,Organic,Marine Corps
,103.5882353,2013,Field,Overhead,,,,Commercial,Army
,105.3960639,2012,Depot,Contract,,,,Organic,Marine Corps
,111,2016,Field,Materials,,,,Organic,Other DoD
,120.0468823,2014,Depot,Labor,,,,Commercial,Other DoD
,124.6879033,2009,Field,Materials,,,,Commercial,Air Force
,149.543863,2010,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,153.8015286,2008,Depot,Overhead,,,,Organic,Army
,160.3137215,2008,Depot,Overhead,,,,Commercial,Army
,165.6184069,2017,Field,Materials,,,,Commercial,Army
,165.9342296,2015,Depot,Overhead,,,,Organic,Army
,170.1985208,2013,Depot,Contract,,,,Organic,Marine Corps
,171.3142679,2013,Depot,Materials,,,,Commercial,Other DoD
,172.8039216,2016,Field,Overhead,,,,Commercial,Total DoD
,176,2013,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,187.7050528,2011,Depot,Materials,,,,Commercial,Other DoD
,197.7505071,2015,Depot,Materials,,,,Organic,Marine Corps
,199.0596895,2009,Field,Overhead,,,,Commercial,Total DoD
,203.854067,2011,Depot,Materials,,,,Organic,Marine Corps
,205,2013,Field,Overhead,,,,Commercial,Total DoD
,209.5944527,2012,Depot,Materials,,,,Commercial,Other DoD
,209.8039216,2012,Field,Overhead,,,,Commercial,Total DoD
,212,2011,Field,Materials,,,,Organic,Marine Corps
,213.5590382,2010,Field,Materials,,,,Commercial,Marine Corps
,227.7545334,2012,Field,Overhead,,,,Organic,Air Force
,237.1764706,2015,Field,Overhead,,,,Commercial,Total DoD
,243.6688451,2014,Depot,Materials,,,,Organic,Marine Corps
,246.3789066,2011,Field,Overhead,,,,Organic,Air Force
,255.9,2008,Field,Materials,,,,Organic,Marine Corps
,269.1022729,2016,Field,Materials,,,,Commercial,Army
,279.2972168,2011,Depot,Labor,,,,Commercial,Other DoD
,285.0276515,2012,Field,Overhead,,,,Organic,Navy
,290.3791101,2013,Field,Overhead,,,,Organic,Army
,316.000633,2014,Field,Overhead,,,,Organic,Army
,348.5143114,2012,Field,Overhead,,,,Organic,Army
,359.6672554,2013,Depot,Overhead,,,,Commercial,Air Force
,369.5718117,2008,Field,Materials,,,,Commercial,Army
,376.8322379,2015,Depot,Overhead,,,,Organic,Air Force
,397.5,2009,Depot,Overhead,,,,Commercial,Air Force
,471,2009,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,481.0344716,2017,Depot,Contract,,,,Organic,Army
,510.5,2011,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,563.8107289,2015,Field,Materials,,,,Commercial,Navy
,590,2015,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,601.3955934,2012,Depot,Overhead,,,,Organic,Navy
,654.4491327,2016,Depot,Labor,,,,Commercial,Other DoD
,655,2013,Field,Materials,,,,Organic,Marine Corps
,658.768,2008,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,679.1,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,704.4661309,2016,Depot,Labor,,,,Commercial,Army
,727,2014,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,736.4004289,2011,Depot,Contract,,,,Organic,Air Force
,750.2,2010,Field,Materials,,,,Organic,Army
,755.2982727,2014,Depot,Contract,,,,Organic,Army
,757.3535095,2013,Field,Labor,,,,Commercial,Marine Corps
,757.4234103,2015,Depot,Overhead,,,,Commercial,Navy
,840.0370651,2014,Depot,Contract,,,,Organic,Navy
,844.0183697,2017,Depot,Materials,,,,Commercial,Army
,861.8709341,2013,Field,Overhead,,,,Organic,Total DoD
,883.7799798,2017,Depot,Overhead,,,,Commercial,Navy
,920.5346188,2016,Depot,Contract,,,,Organic,Navy
,945.8167268,2008,Field,Materials,,,,Commercial,Total DoD
,947.2424143,2012,Field,Overhead,,,,Organic,Total DoD
,949,2013,Field,Materials,,,,Organic,Air Force
,953.1910948,2008,Depot,Overhead,,,,Organic,Total DoD
,973,2012,Field,Materials,,,,Organic,Air Force
,973.0067895,2015,Depot,Materials,,,,Commercial,Army
,992.53005,2016,Depot,Overhead,,,,Organic,Total DoD
,1013.643547,2009,Field,Materials,,,,Commercial,Army
,1014,2016,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,1045,2015,Field,Materials,,,,Organic,Air Force
,1049,2016,Field,Materials,,,,Organic,Air Force
,1115.061082,2008,Depot,Contract,,,,Organic,Army
,1139.454043,2017,Depot,Overhead,,,,Commercial,Total DoD
,1163.941425,2013,Depot,Overhead,,,,Organic,Total DoD
,1188.822504,2010,Depot,Overhead,,,,Organic,Total DoD
,1203.540307,2014,Depot,Overhead,,,,Organic,Total DoD
,1215.004231,2015,Depot,Overhead,,,,Organic,Total DoD
,1217.025375,2013,Depot,Materials,,,,Organic,Navy
,1245.26934,2012,Depot,Overhead,,,,Commercial,Total DoD
,1266.717946,2013,Field,Labor,,,,Commercial,Air Force
,1293.199327,2015,Depot,Materials,,,,Organic,Navy
,1294,2012,Field,Labor/Materials/Overhead,,,,Commercial,Air Force
,1367,2014,Field,Labor/Materials/Overhead,,,,Commercial,Air Force
,1403.262009,2016,Depot,Materials,,,,Commercial,Navy
,1408.631361,2012,Depot,Materials,,,,Organic,Navy
,1465.876923,2009,Depot,Labor,,,,Commercial,Army
,1472.003048,2010,Depot,Materials,,,,Commercial,Navy
,1482,2008,Field,Materials,,,,Organic,Army
,1494.226258,2015,Depot,Materials,,,,Commercial,Navy
,1506.69981,2011,Field,Materials,,,,Commercial,Army
,1513,2016,Field,Labor/Materials/Overhead,,,,Commercial,Other DoD
,1517.856494,2011,Depot,Materials,,,,Commercial,Army
,1559.043137,2010,Field,Labor,,,,Commercial,Air Force
,1579.69,2010,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,1601.298295,2012,Field,Materials,,,,Commercial,Army
,1608.89774,2012,Depot,Materials,,,,Commercial,Navy
,1618.245662,2009,Field,Materials,,,,Commercial,Total DoD
,1698.367,2008,Field,Labor/Materials/Overhead,,,,Commercial,Air Force
,1784.913,2009,Field,Labor/Materials/Overhead,,,,Commercial,Air Force
,1841.879506,2008,Depot,Labor,,,,Commercial,Air Force
,1867.165404,2011,Depot,Materials,,,,Organic,Army
,1885.428468,2013,Field,Materials,,,,Commercial,Total DoD
,2039.579119,2015,Field,Materials,,,,Commercial,Total DoD
,2195.4,2009,Field,Materials,,,,Organic,Navy
,2225.583944,2013,Field,Labor,,,,Commercial,Navy
,2370.834684,2010,Depot,Materials,,,,Organic,Air Force
,2378.555,2010,Field,Labor/Materials/Overhead,,,,Commercial,Navy
,2441.596,2009,Field,Labor/Materials/Overhead,,,,Commercial,Navy
,2466.465023,2011,Depot,Materials,,,,Organic,Air Force
,2487.961206,2017,Depot,Labor,,,,Commercial,Air Force
,2494,2016,Field,Labor/Materials/Overhead,,,,Commercial,Navy
,2747.209039,2012,Depot,Contract,,,,Organic,Total DoD
,2970.320087,2011,Depot,Labor,,,,Commercial,Air Force
,3029.002456,2012,Depot,Labor,,,,Commercial,Air Force
,3210.104483,2010,Depot,Labor,,,,Commercial,Air Force
,3300.252235,2014,Field,Labor/Materials/Overhead,,,,Organic,Marine Corps
,3343.327353,2009,Depot,Contract,,,,Organic,Total DoD
,3397,2013,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,3995.277417,2010,Depot,Labor,,,,Commercial,Navy
,4114.916133,2013,Field,Labor,,,,Commercial,Army
,4223.4,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Army
,4238.3,2010,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,4284.2,2012,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Army
,4464.879077,2011,Depot,Labor,,,,Commercial,Navy
,4536.584199,2014,Depot,Labor,,,,Commercial,Navy
,4876.252262,2013,Depot,Materials,,,,Organic,Total DoD
,5020.5,2008,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,5423.999539,2009,Depot,Materials,,,,Organic,Total DoD
,5645,2013,Depot,Labor/Materials/Overhead,,,,Commercial,Air Force
,5732.841843,2009,Depot,Materials,,,,Commercial,Total DoD
,5881.977168,2010,Depot,Materials,,,,Commercial,Total DoD
,5927.673606,2012,Depot,Materials,,,,Organic,Total DoD
,5984.3,2012,Depot,Labor/Materials/Overhead,,,,Commercial,Air Force
,6116,2009,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Air Force
,6347.2,2011,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Air Force
,6459.426839,2012,Depot,Materials,,,,Commercial,Total DoD
,6510,2011,Field,Labor/Materials/Overhead,,,,Commercial,Army
,6514,2014,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Air Force
,6534.4,2012,Depot,Labor/Materials/Overhead,,,,Commercial,Navy
,6638.00517,2008,Depot,Materials,,,,Organic,Total DoD
,7440,2017,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Navy
,7967.616972,2012,Field,Labor,,,,Commercial,Total DoD
,8346.392222,2013,Depot,Labor,,,,Commercial,Total DoD
,8364.571532,2013,Field,Labor,,,,Commercial,Total DoD
,8611,2014,Field,Materials,,,,Organic,Total DoD
,8624.098841,2011,Field,Labor,,,,Commercial,Total DoD
,8643.403821,2012,Depot,Labor,,,,Commercial,Total DoD
,8703.82751,2010,Depot,Labor,,,,Commercial,Total DoD
,9057.141855,2017,Depot,Labor,,,,Commercial,Total DoD
,9796,2017,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,10455,2013,Field,Labor/Materials/Overhead,,,,Commercial,Total DoD
,10889.56905,2010,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,11007.39516,2015,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,11622.45487,2017,Field,Labor/Materials/Overhead,,,,Organic,Air Force
,12606.52226,2008,Field,Labor/Materials/Overhead,,,,Organic,Army
,13733.02621,2010,Field,Labor/Materials/Overhead,,,,Organic,Army
,13881.99535,2010,Field,Labor/Materials/Overhead,,,,Organic,Navy
,14398,2015,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,14737.21952,2016,Field,Labor/Materials/Overhead,,,,Organic,Navy
,15132,2016,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,17644,2017,Depot,Labor/Materials/Overhead,,,,Commercial,Total DoD
,17691.88778,2009,Field,Labor/Materials/Overhead,,,,Organic,Army
,41835.44871,2016,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
,42521.30787,2010,Field,Labor/Materials/Overhead,,,,Organic,Total DoD
Active,0,2009,Field,Labor,,0,0,Organic,Other DoD
Active,0,2014,Field,Labor,,0,0,Organic,Other DoD
Active,2722.412737,2016,Field,Labor,,38527,70662.46364,Organic,Marine Corps
Active,2730.338132,2015,Field,Labor,,39240,69580.48247,Organic,Marine Corps
Active,2744.151261,2009,Field,Labor,,42305,64865.88491,Organic,Marine Corps
Active,5861.853104,2008,Field,Labor,,86039,68130.18636,Organic,Air Force
Active,6008.519119,2016,Field,Labor,,80225,74895.84442,Organic,Army
Active,6057.182023,2014,Field,Labor,,76356,79328.17359,Organic,Air Force
Active,6112.149656,2015,Field,Labor,,75088,81399.81962,Organic,Air Force
Active,9273.249096,2011,Field,Labor,,118606,78185.32871,Organic,Navy
Active,9712.833076,2014,Field,Labor,,119577,81226.5994,Organic,Navy
Civilian,25.10125063,2011,Depot,Labor,0,0,98743.57208,Organic,Other DoD
Civilian,29.16887375,2013,Depot,Labor,0,0,104832.016,Organic,Other DoD
Civilian,98.85769405,2011,Field,Labor,,1167,84710.9632,Organic,Marine Corps
Civilian,99.19504327,2009,Field,Labor,,1234,80384.96213,Organic,Marine Corps
Civilian,102.5702515,2017,Field,Labor,,1072,95681.20479,Organic,Marine Corps
Civilian,123.3193044,2008,Field,Labor,,1393,88527.8567,Organic,Other DoD
Civilian,139.9228252,2009,Field,Labor,,1528,91572.52958,Organic,Other DoD
Civilian,140.8701717,2016,Field,Labor,,1251,112606.0525,Organic,Other DoD
Civilian,143.0538846,2017,Field,Labor,,1254,114078.0579,Organic,Other DoD
Civilian,146.6116304,2010,Field,Labor,,1534,95574.72648,Organic,Other DoD
Civilian,858.7393184,2015,Depot,Labor,4735,7722,84968.49702,Organic,Army
Civilian,921.7936041,2014,Depot,Labor,4808,7973,87443.48978,Organic,Army
Civilian,1090.985007,2008,Field,Labor,,13648,79937.35398,Organic,Navy
Civilian,1162.815022,2009,Field,Labor,,13913,83577.59087,Organic,Navy
Civilian,1231.229682,2012,Depot,Labor,5698,10258,86469.47082,Organic,Army
Civilian,1231.714012,2010,Field,Labor,,14491,84998.55168,Organic,Navy
Civilian,1523.255305,2016,Field,Labor,,15647,97351.26896,Organic,Navy
Civilian,1632.71044,2009,Depot,Labor,6309,10848,81141.81565,Organic,Army
Civilian,1766.122934,2008,Depot,Labor,7184,14059,77113.80179,Organic,Air Force
Civilian,2212.764967,2014,Field,Labor,,25357,87264.46214,Organic,Air Force
Civilian,2436.216747,2015,Field,Labor,,28672,84968.49702,Organic,Army
Civilian,2445.159388,2008,Field,Labor,,31653,77248.89863,Organic,Army
Civilian,2513.415197,2016,Depot,Labor,7388,15692,93716.41172,Organic,Air Force
Civilian,2583.568338,2017,Field,Labor,,27016,95631.04597,Organic,Air Force
Civilian,2649.175527,2016,Field,Labor,,28268,93716.41172,Organic,Air Force
Civilian,2662.400386,2016,Field,Labor,,28444,93601.47608,Organic,Army
Civilian,2697.399579,2017,Field,Labor,,28241,95513.60005,Organic,Army
Civilian,2736.043209,2011,Field,Labor,,31984,85544.12234,Organic,Army
,29.45974026,2010,Depot,Labor,,,,Commercial,Marine Corps
Civilian,2806.459122,2017,Depot,Labor,7527,15532,95631.04597,Organic,Air Force
Civilian,3582.391844,2013,Depot,Labor,16682,20588,91334.55407,Organic,Navy
Civilian,3693.928357,2014,Depot,Labor,17476,21477,91245.72876,Organic,Navy
Civilian,3806.614732,2015,Depot,Labor,18897,23781,89695.62507,Organic,Navy
Civilian,4341.630149,2017,Depot,Labor,20054,24668,99310.58929,Organic,Navy
Civilian,6342.684012,2015,Field,Labor,,73453,86350.23773,Organic,Total DoD
Civilian,6667.408283,2008,Depot,Labor,29635,45891,88279.64254,Organic,Total DoD
Civilian,6733.82041,2012,Field,Labor,,77156,87275.39543,Organic,Total DoD
Civilian,7630.818614,2013,Depot,Labor,29103,45544,102225.389,Organic,Total DoD
Civilian,7931.861135,2012,Depot,Labor,32012,48437,98594.90031,Organic,Total DoD
Guard/Reserve,0,2009,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,0,2012,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,0,2014,Field,Labor,,0,0,Organic,Other DoD
Guard/Reserve,126.2170438,2015,Field,Labor,,6559,19243.33645,Organic,Marine Corps
Guard/Reserve,183.1118302,2010,Field,Labor,,6309,29023.90714,Organic,Marine Corps
Guard/Reserve,198.2323135,2009,Field,Labor,,5968,33215.87023,Organic,Marine Corps
Guard/Reserve,444.6903797,2016,Field,Labor,,13202,33683.56156,Organic,Navy
Guard/Reserve,461.8703909,2010,Field,Labor,,12766,36179.72669,Organic,Navy
Guard/Reserve,489.4795888,2011,Field,Labor,,12923,37876.62221,Organic,Navy
Guard/Reserve,1558.543086,2011,Field,Labor,,45354,34363.96097,Organic,Air Force
Guard/Reserve,1596.664011,2012,Field,Labor,,45524,35073.01667,Organic,Air Force
Guard/Reserve,1630.277172,2009,Field,Labor,,50458,32309.58763,Organic,Air Force
Guard/Reserve,2025.691631,2016,Field,Labor,,83305,24316.5672,Organic,Army
Guard/Reserve,3012.74355,2010,Field,Labor,,87736,34338.73838,Organic,Army
Guard/Reserve,3888.102333,2016,Field,Labor,,145372,26745.88183,Organic,Total DoD
Guard/Reserve,4521.583998,2017,Field,Labor,,143638,31479.02364,Organic,Total DoD
Guard/Reserve,4874.627577,2012,Field,Labor,,152761,31910.15755,Organic,Total DoD
Total,123.3193044,2008,Field,Labor,,1393,88527.8567,Organic,Other DoD
Total,137.6339695,2014,Field,Labor,,1288,106858.6719,Organic,Other DoD
Total,2797.649886,2008,Field,Labor,,48169,58079.88304,Organic,Marine Corps
Total,3201.613458,2011,Field,Labor,,49851,64223.65566,Organic,Marine Corps
Total,3237.567151,2010,Field,Labor,,51439,62939.93178,Organic,Marine Corps
Total,9606.465054,2008,Field,Labor,,164333,58457.30957,Organic,Air Force
Total,9746.563878,2015,Field,Labor,,145593,66943.90443,Organic,Air Force
Total,9876.083518,2008,Field,Labor,,144662,68270.06068,Organic,Navy
Total,10702.06558,2015,Field,Labor,,198324,53962.53395,Organic,Army
Total,10815.69368,2008,Field,Labor,,209790,51554.85811,Organic,Army
Total,10841.68203,2010,Field,Labor,,148490,73012.87649,Organic,Navy
Total,11187.35577,2017,Field,Labor,,192255,58190.19412,Organic,Army
Total,12588.14334,2011,Field,Labor,,217411,57900.21359,Organic,Army
Total,35430.25505,2009,Field,Labor,,575200,61596.41003,Organic,Total DoD
Total,35514.1458,2016,Field,Labor,,535279,66346.98129,Organic,Total DoD
Total,35998.27237,2017,Field,Labor,,530389,67871.45354,Organic,Total DoD
,0,2009,Field,Labor,,,,Commercial,Other DoD
,0,2010,Field,Materials,,,,Organic,Other DoD
,0,2011,Field,Overhead,,,,Commercial,Other DoD
,0,2012,Field,Labor,,,,Commercial,Other DoD
,0,2013,Field,Labor/Materials/Overhead,,,,Commercial,Other DoD
,0,2014,Field,Materials,,,,Organic,Other DoD
,0,2014,Field,Overhead,,,,Commercial,Other DoD
,0.427544457,2017,Depot,Overhead,,,,Organic,Other DoD
,1.736662883,2015,Depot,Contract,,,,Organic,Other DoD
,1.874198344,2010,Depot,Overhead,,,,Organic,Other DoD
,1.980913077,2009,Depot,Overhead,,,,Organic,Other DoD
,2.410322428,2008,Depot,Overhead,,,,Organic,Other DoD
,2.932232608,2010,Field,Overhead,,,,Organic,Other DoD
,2.977229254,2013,Field,Overhead,,,,Organic,Other DoD
,3.046189674,2012,Field,Overhead,,,,Organic,Other DoD
,3.164333459,2014,Depot,Materials,,,,Organic,Other DoD
,3.690024848,2012,Depot,Overhead,,,,Organic,Other DoD
,3.909267134,2011,Depot,Overhead,,,,Organic,Other DoD
,6.926081748,2015,Depot,Overhead,,,,Commercial,Marine Corps
,9,2015,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,9.10887071,2012,Depot,Contract,,,,Organic,Other DoD
,13,2014,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,13.6309749,2013,Depot,Materials,,,,Organic,Other DoD
,15.02705458,2010,Depot,Materials,,,,Organic,Other DoD
,15.24404086,2016,Depot,Contract,,,,Organic,Other DoD
,17.79707443,2013,Depot,Overhead,,,,Organic,Marine Corps
,18.49019608,2013,Field,Overhead,,,,Commercial,Marine Corps
,20.12204216,2014,Depot,Overhead,,,,Organic,Marine Corps
,20.16488223,2009,Depot,Labor,,,,Commercial,Marine Corps
,30.09095171,2013,Depot,Overhead,,,,Commercial,Other DoD
,30.2488437,2011,Field,Overhead,,,,Commercial,Air Force
,36.12944467,2009,Depot,Overhead,,,,Commercial,Other DoD
,39.4,2010,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Other DoD
,48.88311168,2008,Field,Overhead,,,,Commercial,Navy
,51.87179487,2017,Depot,Labor,,,,Commercial,Marine Corps
,53.71870605,2016,Depot,Overhead,,,,Commercial,Other DoD
,55.17647059,2013,Field,Overhead,,,,Commercial,Navy
,57.14721935,2009,Field,Overhead,,,,Commercial,Navy
,58.96078431,2015,Field,Overhead,,,,Commercial,Navy
,63.80281415,2017,Field,Overhead,,,,Organic,Marine Corps
,66.0945641,2014,Depot,Materials,,,,Commercial,Marine Corps
,77.7360515,2017,Depot,Contract,,,,Organic,Marine Corps
,78.32960439,2011,Field,Materials,,,,Commercial,Air Force
,87.54841295,2016,Depot,Overhead,,,,Organic,Air Force
,99.2,2011,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,101.9102295,2010,Field,Materials,,,,Commercial,Air Force
,118.9842105,2011,Depot,Contract,,,,Organic,Marine Corps
,120.5369561,2013,Field,Materials,,,,Commercial,Air Force
,125.8689459,2016,Depot,Materials,,,,Commercial,Marine Corps
,134.6736635,2016,Field,Materials,,,,Commercial,Air Force
,140.3866489,2014,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,142.7212817,2009,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,145,2014,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,153.9076923,2009,Depot,Overhead,,,,Commercial,Army
,155.3556734,2012,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,156.6171797,2011,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,160.5396096,2017,Depot,Overhead,,,,Commercial,Army
,167.1562945,2013,Field,Materials,,,,Commercial,Marine Corps
,175.0019976,2009,Depot,Materials,,,,Commercial,Other DoD
,184,2015,Depot,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,197.0904118,2013,Depot,Overhead,,,,Organic,Army
,202.8174025,2012,Depot,Materials,,,,Organic,Marine Corps
,208.4995807,2010,Depot,Labor,,,,Commercial,Other DoD
,210.8106529,2008,Depot,Materials,,,,Organic,Marine Corps
,214.0185354,2012,Field,Materials,,,,Commercial,Marine Corps
,218.4400444,2013,Field,Overhead,,,,Organic,Air Force
,221.3048966,2016,Field,Overhead,,,,Organic,Air Force
,227.891272,2017,Field,Overhead,,,,Organic,Air Force
,227.9965829,2012,Depot,Overhead,,,,Organic,Army
,249.3966411,2008,Field,Overhead,,,,Organic,Air Force
,256.9075752,2016,Field,Labor/Materials/Overhead,,,,Organic,Other DoD
,259.8685577,2009,Depot,Labor,,,,Commercial,Other DoD
,277.6209316,2013,Field,Overhead,,,,Organic,Navy
,278.8296182,2011,Field,Overhead,,,,Commercial,Total DoD
,284.3407625,2015,Field,Overhead,,,,Organic,Navy
,287.6431682,2017,Field,Overhead,,,,Organic,Navy
,288.9650886,2016,Field,Overhead,,,,Organic,Navy
,293.2599131,2012,Depot,Overhead,,,,Organic,Air Force
,295.0450972,2009,Field,Overhead,,,,Organic,Navy
,315,2017,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,318.3991668,2012,Depot,Overhead,,,,Commercial,Air Force
,318.8343206,2010,Field,Overhead,,,,Organic,Navy
,321.9902114,2011,Field,Overhead,,,,Organic,Navy
,342.8159286,2008,Field,Materials,,,,Commercial,Navy
,357.5646833,2015,Depot,Overhead,,,,Commercial,Air Force
,364.0158621,2010,Depot,Overhead,,,,Commercial,Air Force
,411.4408388,2009,Field,Overhead,,,,Organic,Army
,440.417801,2017,Field,Labor,,,,Commercial,Marine Corps
,447.0251289,2016,Depot,Contract,,,,Organic,Army
,463.5739959,2017,Depot,Materials,,,,Commercial,Other DoD
,479,2010,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,483,2016,Field,Materials,,,,Organic,Marine Corps
,495,2017,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,510.1,2010,Depot,Labor/Materials/Contract/Overhead,,,,Organic,Marine Corps
,519,2015,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,522.2227426,2015,Field,Materials,,,,Commercial,Army
,529,2012,Depot,Labor/Materials/Overhead,,,,Commercial,Other DoD
,587.1430228,2009,Depot,Overhead,,,,Commercial,Navy
,589.2334655,2008,Field,Labor,,,,Commercial,Marine Corps
,598.8671112,2012,Field,Materials,,,,Commercial,Navy
,607.7638622,2014,Field,Materials,,,,Commercial,Navy
,628.3537993,2016,Depot,Contract,,,,Organic,Air Force
,653,2010,Field,Materials,,,,Organic,Air Force
,655.5228426,2015,Depot,Overhead,,,,Organic,Navy
,661.5602871,2011,Depot,Overhead,,,,Organic,Navy
,686.8965423,2012,Depot,Overhead,,,,Commercial,Navy
,701.6147804,2017,Depot,Contract,,,,Organic,Air Force
,709.720524,2016,Depot,Overhead,,,,Commercial,Navy
,715.0920245,2017,Depot,Overhead,,,,Organic,Navy
,719.8195346,2010,Depot,Overhead,,,,Commercial,Navy
,732.0057298,2014,Field,Labor,,,,Commercial,Marine Corps
,741.5269572,2017,Field,Materials,,,,Commercial,Other DoD
,786,2014,Field,Labor/Materials/Overhead,,,,Commercial,Marine Corps
,814.5820376,2015,Field,Labor,,,,Commercial,Other DoD
,814.6725218,2013,Depot,Contract,,,,Organic,Navy
,820.302916,2016,Field,Overhead,,,,Organic,Total DoD
,821.4254474,2017,Field,Overhead,,,,Organic,Total DoD
,829.6235317,2016,Field,Labor,,,,Commercial,Other DoD
,854.207488,2008,Depot,Contract,,,,Organic,Navy
,878.9361335,2010,Depot,Contract,,,,Organic,Air Force
,912.9407916,2009,Depot,Contract,,,,Organic,Navy
,1018.848078,2010,Depot,Contract,,,,Organic,Army
,1039.632134,2011,Depot,Contract,,,,Organic,Army
