DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2009,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1B
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2010,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1B
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2011,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1B
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2008,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1B
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2008,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1E
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2009,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1E
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2011,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1E
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2012,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1F
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2008,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1F
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",17,,,2008,t,t,,,0,Rotary Wing Aviation,Air Force,26.42,16,UH-1H
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",17,,,2009,t,t,,,0,Rotary Wing Aviation,Air Force,22.9304,4,UH-1H
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",3,,,2012,t,t,,,18,Rotary Wing Aviation,Air Force,61.5,2,UH-1N
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2008,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1P
AFA,CR,R,H-1,"CARGO,TRANSPORT AND UTILITY HELICOPTER",0,,,2009,t,t,,,0,Rotary Wing Aviation,Air Force,0,0,UH-1P
