DATASEGMENT,EICATEGORY,EICC,EITM,EITYPE,EPSLI,FORCEELEMENT,FYQTR,FYYearInt,ISENDITEM,ISMODEL,MONTH_CHAR,MONTH_NUMBER,PMAI,SCORECARDGROUP,SERVICE,TAI,TII,TMS
AFA,,X,TRI010T,HYDRAULIC JACK,0,,,2011,f,t,,,0,,Air Force,0,0,TRI010T
AFA,,X,TRI012T,HYDRAULIC JACK,0,,,2009,f,t,,,0,,Air Force,0,0,TRI012T
AFA,,X,TRI012T,HYDRAULIC JACK,0,,,2010,f,t,,,0,,Air Force,0,0,TRI012T
AFA,,X,TRI012T,HYDRAULIC JACK,0,,,2012,f,t,,,0,,Air Force,0,0,TRI012T
AFA,,X,TRI012T,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI012T
AFA,,X,TRI015T,HYDRAULIC JACK,0,,,2009,f,t,,,0,,Air Force,0,0,TRI015T
AFA,,X,TRI015T,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI015T
AFA,,X,TRI015T,HYDRAULIC JACK,0,,,2010,f,t,,,0,,Air Force,0,0,TRI015T
AFA,,X,TRI020T,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI020T
AFA,,X,TRI020T,HYDRAULIC JACK,0,,,2012,f,t,,,0,,Air Force,0,0,TRI020T
AFA,,X,TRI020T,HYDRAULIC JACK,0,,,2011,f,t,,,0,,Air Force,0,0,TRI020T
AFA,,X,TRI030T,HYDRAULIC JACK,0,,,2012,f,t,,,0,,Air Force,0,0,TRI030T
AFA,,X,TRI040T,HYDRAULIC JACK,0,,,2011,f,t,,,0,,Air Force,0,0,TRI040T
AFA,,X,TRI040T,HYDRAULIC JACK,0,,,2012,f,t,,,0,,Air Force,0,0,TRI040T
AFA,,X,TRI040T,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI040T
AFA,,X,TRI060T,HYDRAULIC JACK,0,,,2010,f,t,,,0,,Air Force,0,0,TRI060T
AFA,,X,TRI060T,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI060T
AFA,,X,TRI060T,HYDRAULIC JACK,0,,,2009,f,t,,,0,,Air Force,0,0,TRI060T
AFA,,X,TRI060T,HYDRAULIC JACK,0,,,2011,f,t,,,0,,Air Force,0,0,TRI060T
AFA,,X,TRI100T,TRIPOD,0,,,2008,f,t,,,0,,Air Force,0,0,TRI100T
AFA,,X,TRI100T,TRIPOD,0,,,2011,f,t,,,0,,Air Force,0,0,TRI100T
AFA,,X,TRI2017,HYDRAULIC JACK,0,,,2010,f,t,,,0,,Air Force,0,0,TRI2017
AFA,,X,TRI2017,HYDRAULIC JACK,0,,,2008,f,t,,,0,,Air Force,0,0,TRI2017
AFA,,X,TRI2017,HYDRAULIC JACK,0,,,2009,f,t,,,0,,Air Force,0,0,TRI2017
AFA,,X,TRI2017,HYDRAULIC JACK,0,,,2011,f,t,,,0,,Air Force,0,0,TRI2017
