AVAILCD,AWMCODE,AWMTOTAL,AWPCODE,AWPTOTAL,CORROCATCD,CORROTAT,COSTCORRECTIVE,COSTCORRECTIVECORRO,COSTLABOR,COSTLABORCORRO,COSTMATL,COSTMATLCORRO,COSTPART,COSTPARTCORRO,COSTPREVENTIVE,COSTPREVENTIVECORRO,COSTSTRUCTURE,COSTSTRUCTURECORRO,COSTTOTAL,COSTTOTALCORRO,DATASEGMENT,EICATEGORY,EICC,EITM,ENDITEMUNIQUEID,ENGINETMS,FAULTCAUSECD,FORCEELEMENT,FYQTR,FYYearInt,ISCORROSION,ISNMCCAUSING,JCN,JCNCOMPLDATE,JCNSTARTDATE,LMIWBS,MAINTACTIONCD,MAINTDLH,MAINTLEVELCD,MAINTOPKEYWORD,MAINTSUBWORKCTR,MAINTTAT,MAINTWORKCTR,MAJORCOMMANDCD,MODERNIZATION,MONTH_CHAR,MONTH_NUMBER,NIIN,NMCM_MAINTTAT,NMCS_MAINTTAT,OPCD,OPNCOMPLDATE,OPNSTARTDATE,PARTSTRUCTURE,PREVENTIVECORRECTIVE,QTYITEMSMAINTAINED,ROH,SCORECARDGROUP,SERVICE,SERVICEWBS,SORCD,SUBJCN,TIER1OBJECT,TIER2OBJECT,TMS,UNITCD,WPC
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,8300000493,,70,,,2008,f,t,72990298,10/31/2007 0:00,10/25/2007 0:00,FR035,R,4,1,REPLACE,,6.42901,,ANG,,,,,,,16046476,10/26/2007 0:00,10/26/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,13910,FFCZG,5025271,NOSE LANDING GEAR,SPREADER,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9200001094,,799,,,2008,f,t,82190536,8/22/2008 0:00,8/6/2008 0:00,FF044,H,4,1,CHARGE,,9.08379,,ANG,,,,14430668,,,15815079,8/6/2008 0:00,8/6/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,14224,FFCZG,7519115,,ALARM SAFETY AND WARNING SYSTEMS,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9200001095,,450,,,2008,f,t,72690003,6/3/2008 0:00,10/1/2007 0:00,FF059,L,4,1,RESET,,5.82054,,ANG,,,,,,,15145450,10/16/2007 0:00,10/16/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,42811,FFCZG,4609325,AIRCRAFT PROPELLER,PROPELLER,LC-130H,FFCZG,P
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9200001095,,804,,,2008,f,t,72700005,2/7/2008 0:00,10/2/2007 0:00,FL059,S,4,1,INSTALL,,5.82054,,ANG,,,,,,,15672808,10/13/2007 0:00,10/13/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,3251T,FFCZG,2396044,AIRCRAFT PROPELLER,PROPELLER,LC-130H,FFCZG,P
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,381,,,2008,f,t,81690340,4/11/2009 0:00,4/15/2008 0:00,FM076,R,4,1,PUMP,,6.96054,,ANG,,,,,,,15724016,7/14/2008 0:00,7/14/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,46212,FFCZG,5669050,HYDRAULIC OR PNEUDRALIC,HYDRAULIC PUMP,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,799,,,2008,f,t,81900346,7/17/2008 0:00,7/8/2008 0:00,FR111,X,4,1,REPLACE,,6.96054,,ANG,,,,,,,15214887,7/15/2008 0:00,7/15/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,4213E,FFCZG,6758311,NAVIGATIONAL CONTROL INSTRUMENTATION,NAVIGATION SYSTEM,LC-130H,FFCZG,S
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,800,,,2008,f,t,82350214,9/22/2008 0:00,8/21/2008 0:00,FR101,Q,4,1,REMOVE,,6.96054,,ANG,,,,,,,15215064,9/16/2008 0:00,9/16/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,4612F,FFCZG,4592368,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,800,,,2008,f,t,82350214,9/22/2008 0:00,8/21/2008 0:00,FM101,P,4,1,PUMP,,6.96054,,ANG,,,,,,,15057881,9/12/2008 0:00,9/12/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,46212,FFCZG,4592368,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,800,,,2008,f,t,82350214,9/22/2008 0:00,8/21/2008 0:00,FR101,P,4,1,REMOVE,,6.96054,,ANG,,,,,,,16010016,8/22/2008 0:00,8/22/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,4663A,FFCZG,4592368,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,800,,,2008,f,t,82350214,9/22/2008 0:00,8/21/2008 0:00,FD101,P,4,1,DISCONNECT,,6.96054,,ANG,,,,,,,15262809,8/25/2008 0:00,8/25/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,4612B,FFCZG,4592368,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,9300001096,,800,,,2008,f,t,82350214,9/22/2008 0:00,8/21/2008 0:00,FR101,P,4,1,REMOVE,,6.96054,,ANG,,,,,,,15367907,8/22/2008 0:00,8/22/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,46123,FFCZG,4592368,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,ENG-T-56,127,,,2008,f,t,72970002,10/29/2007 0:00,10/3/2007 0:00,FF012,L,4,1,RESET,,0,,ANG,,,,,,,15950008,10/24/2007 0:00,10/24/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,42811,FFCZG,5352413,ENGINE OR PROPULSION,PROPELLER,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,ENG-T-56,127,,,2008,f,t,80300256,5/12/2008 0:00,1/30/2008 0:00,FB011,L,4,1,TORQUE,,0,,ANG,,,,,,,15534182,1/30/2008 0:00,1/30/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,32525,FFCZG,7416765,ENGINE OR PROPULSION,TORQUE CONVERTER,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,ENG-T-56,135,,,2008,f,t,08140A245,5/28/2008 0:00,5/28/2008 0:00,FR010,R,4,1,REPLACE,,0,,ANG,,,,,,,16192410,5/28/2008 0:00,5/28/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,22EAG,FFCZG,9993452,,ENGINE ACCESSORIES,LC-130H,FFCZG,E
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,ENG-T-56,242,,,2008,f,t,73260285,11/23/2007 0:00,11/23/2007 0:00,FL014,R,4,1,INSTALL,,0,,ANG,,,,,,,15467387,11/23/2007 0:00,11/23/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,22DAC,FFCZG,9533730,ENGINE OR PROPULSION,IGNITION SYSTEM,LC-130H,FFCZG,B
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,ENG-T-56,450,,,2008,f,t,80560002,5/4/2008 0:00,11/28/2007 0:00,FF012,L,4,1,RESET,,0,,ANG,,,,,,,15158296,3/18/2008 0:00,3/18/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,42811,FFCZG,1238981,ENGINE OR PROPULSION,PROPELLER,LC-130H,FFCZG,E
RED_X,,,,,,0,681.9961,0,681.9961,0,0,0,681.9961,0,0,0,0,0,681.9961,0,AFA,CF,F,C-130,,,804,,,2008,f,t,08140A263,5/28/2008 0:00,5/28/2008 0:00,FR051,S,4,1,REMOVE,,0,,ANG,,,,,,,16091437,5/28/2008 0:00,5/28/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,22G99,FFCZG,8274113,,COLLECTOR,LC-130H,FFCZG,E
RED_X,,,,,,0,682.5891,0,672.6939,0,9.8952,0,682.5891,0,0,0,0,0,682.5891,0,AFA,CF,F,KC-135,,ENG-CFM-56,799,Rapid Mobility,,2008,f,t,73060100,6/23/2008 0:00,10/28/2007 0:00,FF011,X,2,1,REPAIR,,0,,AMC,,,,6314859,,,2612101,11/2/2007 0:00,11/2/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,27000,FF0K5,4022441,ENGINE OR PROPULSION,ENGINE,KC-135R,FFC0F,B
RED_X,,,,,,0,683.7937,0,672.6939,0,11.0998,0,683.7937,0,0,0,0,0,683.7937,0,AFA,CF,F,KC-135,6200003509,,0,Rapid Mobility,,2008,f,t,80420275,3/10/2008 0:00,2/11/2008 0:00,FM105,UNK,2,1,CONFIGURE,,2.46479,,AFRC,,,,,,,18072136,3/10/2008 0:00,3/10/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,1000,FF6LM,2151128,REFUELING EQUIPMENT,REFUELING EQUIPMENT,KC-135R,FF6LM,A
RED_X,,,,,,0,685.3253,0,685.3253,0,0,0,685.3253,0,0,0,0,0,685.3253,0,AFA,CF,F,C-5,6900000026,,800,Rapid Mobility,,2008,f,t,08224C107,8/25/2008 0:00,8/12/2008 0:00,FL044,Q,4.1,1,INSTALL,,2.14745,,AFRC,,,,,,,18242534,8/25/2008 0:00,8/25/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,11BAY,FFLKK,1571956,,PANEL,C-5A,FFLKK,P
RED_X,,,,,,0,685.8487,0,681.9961,0,3.8526,0,685.8487,0,0,0,0,0,685.8487,0,AFA,CF,F,C-130,8300000491,,800,,,2008,f,t,82410280,9/25/2008 0:00,6/9/2008 0:00,FR101,P,4,1,REMOVE,,4.70717,,ANG,,,,,,,15244932,9/3/2008 0:00,9/3/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,46412,FFCZG,3404877,FUEL SYSTEM,FUEL TANK,LC-130H,FFCZG,B
RED_X,,,,,,0,686.3079,0,672.6939,0,13.614,0,686.3079,0,0,0,0,0,686.3079,0,AFA,CF,F,KC-135,5800000092,,255,Rapid Mobility,,2008,f,t,73320101,12/19/2007 0:00,11/25/2007 0:00,FR041,R,2,1,REPLACE,,0.952385,,AMC,,,,,,,230525,11/28/2007 0:00,11/28/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,42149,FFC2Z,10585792,ELECTRICAL SYSTEM,BATTERY,KC-135R,FFC2Z,B
RED_X,,,,,,0,686.538,0,668.6101,0,17.9279,0,686.538,0,0,0,0,0,686.538,0,AFA,CF,F,C-5,,ENG-TF-39,525,Rapid Mobility,,2008,f,t,82260214,10/15/2008 0:00,5/13/2008 0:00,FM011,R,4,1,REFILL,,0,,AFRC,,,,10552158,,,18256623,8/13/2008 0:00,8/13/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,49AGC,FF1WD,4807443,ENGINE OR PROPULSION,ENGINE,C-5A,FF1WD,B
RED_X,,,,,,0,686.6809,0,686.6809,0,0,0,686.6809,0,0,0,0,0,686.6809,0,AFA,CF,F,C-130,6300007834,,553,,,2008,f,t,81067342,4/16/2008 0:00,4/15/2008 0:00,FB101,R,2.1,1,LOWER,,1.34505,,AMC,,,,,,,3575534,4/15/2008 0:00,4/15/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,46130,FFBWL,3904072,FUEL SYSTEM,FUEL TANK,C-130E,FFBWL,B
RED_X,,,,,,0,686.6809,0,686.6809,0,0,0,686.6809,0,0,0,0,0,686.6809,0,AFA,CF,F,C-130,7200001299,,804,,,2008,f,t,08115B334,5/3/2008 0:00,5/3/2008 0:00,FF144,L,2.1,1,RESET,,1.31668,,AMC,,,,,,,4558153,5/3/2008 0:00,5/3/2008 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,614AH,FFBWL,1150143,,ID PLATE,C-130E,FFBWL,E
RED_X,,,,,,0,687.0361,0,672.6939,0,14.3422,0,687.0361,0,0,0,0,0,687.0361,0,AFA,CF,F,KC-135,5700002598,ENG-CFM-56,804,Rapid Mobility,,2008,f,t,73320030,1/18/2008 0:00,11/18/2007 0:00,FR015,R,2,1,REPLACE,,2.34948,,AFRC,,,,,,,18667894,11/29/2007 0:00,11/29/2007 0:00,PART,CORRECTIVE,1,OF,Other Fixed Wing Aviation,AF,4514C,FFLQB,3478171,ENGINE OR PROPULSION,FILTER,KC-135R,FFLQB,P
